Company,Filename,Year,Unique ID
SONA BLW PRECISION FORGINGS LIMITED,1624007609831.pdf,2021,U27300HR1995PLC083037
NAZARA TECHNOLOGIES LIMITED,1684484417347.pdf,2021,U72900MH1999PLC122970
HDFC ASSET MANAGEMENT COMPANY LIMITED,1532069955200.pdf,2018,U65991MH1999PLC123027
TCNS CLOTHING CO. LIMITED,1531393829707.pdf,2018,U99999DL1997PLC090978
HONASA CONSUMER LIMITED,1698221034183.pdf,2023,U74999DL2016PLC306016
G R INFRAPROJECTS LIMITED,1626236857800.pdf,2021,U45201GJ1995PLC098652
CMS INFO SYSTEMS LIMITED,1640597801172.pdf,2021,U45200MH2008PLC180479
CONCORD BIOTECH LIMITED,1692609288297.pdf,2023,U24230GJ1984PLC007440
MANKIND PHARMA LIMITED,1684836733265.pdf,2023,U74899DL1991PLC044843
GLENMARK LIFE SCIENCES LIMITED,1627884821764.pdf,2021,U74900PN2011PLC139963
QUESS CORP LIMITED,1509530011927.pdf,2017,L74140KA2007PLC043909
COCHIN SHIPYARD LIMITED,1509360878433.pdf,2017,U63032KL1972GOI002414
GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,1536899182020.pdf,2018,U35111WB1934GOI007891
SBFC FINANCE LIMITED,1691670352991.pdf,2023,U67190MH2008PLC178270
BIKAJI FOODS INTERNATIONAL LIMITED,1668158972078.pdf,2022,U15499RJ1995PLC010856
eMUDHRA LIMITED,1653629179099.pdf,2022,U72900KA2008PLC060368
RAINBOW CHILDRENâ€™S MEDICARE LIMITED,1651665517350.pdf,2022,U85110TG1998PLC029914
STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,1638947327485.pdf,2021,U66010TN2005PLC056649
DODLA DAIRY LIMITED,1683611412498.pdf,2021,U15209TG1995PLC020324
ICICI SECURIT IES LIMITED,1521451575933.pdf,2018,U67120MH1995PLC086241
ELIN ELECTRONICS LIMITED,1682057520222.pdf,2022,U29304WB1982PLC034725
HARSHA ENGINEERS INTERNATIONAL LIMITED,1663666452963.pdf,2022,U29307GJ2010PLC063233
SHANKARA BUILDING PRODUCTS LIMITED,1489724897408.pdf,2017,U26922KA1995PLC018990
BHARAT DYNAMICS LIMITED,1520588131490.pdf,2018,U24292TG1970GOI001353
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,1569818278938.pdf,2019,U74899DL1999GOI101707
SURYODAY SMALL FINANCE BANK LIMITED,1681361945857.pdf,2021,U65923MH2008PLC261472
UJJIVAN SMALL FINANCE BANK LIMITED,1575266886933.pdf,2019,U65110DL2016PLC302481
MUSIC BROADCAST LIMITED,1488431883782.pdf,2017,U64200MH1999PLC137729
GALAXY SURFACTANTS LIMITED,1516688904398.pdf,2018,U39877MH1986PLC039877
AAVAS FINANCIERS LIMITED,1537864613565.pdf,2018,U65922RJ2011PLC034297
METROPOLIS HEALTHCARE LIMITED,1553853375519.pdf,2019,U73100MH2000PLC192798
VISHNU PRAKASH R PUNGLIA LIMITED,1693456138034.pdf,2023,U45203MH2013PLC243252
PARADEEP PHOSPHATES LIMITED,1653279705300.pdf,2022,U24129OR1981PLC001020
SHRIRAM PROPERTIES LIMITED,1681819029989.pdf,2021,U72200TN2000PLC044560
PRATAAP SNACKS LIMITED,1509179643728.pdf,2017,U15311MP2009PLC021746
VERANDA LEARNING SOLUTIONS LIMITED,1681124753382.pdf,2022,U74999TN2018PLC125880
SANSERA ENGINEERING LIMITED,1683091367157.pdf,2021,U34103KA1981PLC004542
AEROFLEX INDUSTRIES LIMITED,1693309886094.pdf,2023,U24110MH1993PLC074576
S.J.S. ENTERPRISES LIMITED,1681881828236.pdf,2021,U51909KA2005PLC036601
S CHAND AND COMPANY LIMITED,1492773628568.pdf,2017,U22219DL1970PLC005400
ZAGGLE PREPAID OCEAN SERVICES LIMITED,1695373595436.pdf,2023,U65999TG2011PLC074795
EMS LIMITED,1694690328335.pdf,2023,U45205DL2010PLC211609
ROLEX RINGS LIMITED,1681710521634.pdf,2021,U28910GJ2003PLC041991
STERLING AND WILSON SOLAR LIMITED,1683087803995.pdf,2019,U74999MH2017PLC292281
APEX FROZEN FOODS LIMITED,1510842443599.pdf,2017,U15490AP2012PLC080067
BHARAT ROAD NETWORK LIMITED,1510830076946.pdf,2017,U45203WB2006PLC112235
HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,1509087115907.pdf,2017,U99999MH2000PLC128245
POLYCAB INDIA LIMITED,1554987434164.pdf,2019,U31300DL1996PLC266483
INTERGLOBE AVIATION LIMITED,1509196115254.pdf,2017,L62100DL2004PLC129768
INDIGO PAINTS LIMITED,1611730303543.pdf,2021,U24114PN2000PLC014669
HMA AGR O INDU STRIE S LIMITED,1688373392715.pdf,2023,U74110UP2008PLC034977
HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED,1493725126225.pdf,2017,U74899DL1970GOI005276
FUTURE SUPPLY CHAIN SOLUTIONS LIMITED,1512033928474.pdf,2017,U63030MH2006PLC160376
SBI LIFE INSURANCE COMPANY LIMITED,1509196003267.pdf,2017,U99999MH2000PLC129113
THE NEW INDIA ASSURANCE COMPANY LIMITED,1509101480783.pdf,2017,U99999MH1919GOI000526
TIMES GREEN ENERGY (INDIA) LIMITED,1623405595191.pdf,2021,U40300TG2010PLC071153
TEJAS NETWORKS LIMITED,1497246526882.pdf,2017,U72900KA2000PLC026980
